timestamp,emg_value,heart_rate
18.2,65,162
18.3,134,162
18.4,223,161
18.5,312,161
18.6,398,161
18.7,487,160
18.8,576,160
18.9,645,160
19.0,598,159
19.1,478,159
19.2,345,159
19.3,223,158
19.4,134,158
19.5,89,158
19.6,76,157
19.7,67,157
19.8,62,157
19.9,58,156
20.0,56,156
20.1,55,156
20.2,67,155
20.3,145,155
20.4,234,155
20.5,323,154
20.6,412,154
20.7,487,154
20.8,567,153
20.9,623,153
21.0,578,153
21.1,456,152
21.2,334,152
21.3,212,152
21.4,134,151
21.5,89,151
21.6,76,151
21.7,67,150
21.8,62,150
21.9,58,150
22.0,56,149
22.1,55,149
22.2,78,149
22.3,156,148
22.4,245,148
22.5,334,148
22.6,423,147
22.7,498,147
22.8,567,147
22.9,612,146
23.0,567,146
23.1,445,146
23.2,323,145
23.3,212,145
23.4,134,145
23.5,89,144
23.6,76,144
23.7,67,144
23.8,62,143
23.9,58,143
24.0,56,143
24.1,55,142
24.2,89,142
24.3,167,142
24.4,256,141
24.5,345,141
24.6,423,141
24.7,487,140
24.8,545,140
24.9,589,140
25.0,545,139
25.1,423,139
25.2,312,139
25.3,198,138
25.4,123,138
25.5,89,138
25.6,76,137
25.7,67,137
25.8,62,137
25.9,58,136
26.0,56,136
26.1,55,136
26.2,98,135
26.3,178,135
26.4,267,135
26.5,345,134
26.6,412,134
26.7,467,134
26.8,523,133
26.9,567,133
27.0,523,133
27.1,412,132
27.2,298,132
27.3,187,132
27.4,123,131
27.5,89,131
27.6,76,131
27.7,67,130
27.8,62,130
27.9,58,130
28.0,56,129
28.1,55,129
28.2,112,129
28.3,189,128
28.4,278,128
28.5,356,128
28.6,423,127
28.7,478,127
28.8,523,127
28.9,556,126
29.0,512,126
29.1,398,126
29.2,287,125
29.3,178,125
29.4,112,125
29.5,89,124
29.6,76,124
29.7,67,124
29.8,62,123
29.9,58,123
30.0,56,123
30.1,55,122
30.2,123,122
30.3,198,122
30.4,287,121
30.5,367,121
30.6,434,121
30.7,487,120
30.8,523,120
30.9,545,120
31.0,498,119
31.1,387,119
31.2,276,119
31.3,167,118
31.4,112,118
31.5,89,118
31.6,76,117
31.7,67,117
31.8,62,117
31.9,58,116
32.0,56,116
32.1,55,116
32.2,134,115
32.3,212,115
32.4,298,115
32.5,376,114
32.6,445,114
32.7,487,114
32.8,512,113
32.9,534,113
33.0,487,113
33.1,376,112
33.2,267,112
33.3,156,112
33.4,112,111
33.5,89,111
33.6,76,111
33.7,67,110
33.8,62,110
33.9,58,110
34.0,56,109
34.1,55,109
34.2,145,109
34.3,223,108
34.4,312,108
34.5,387,108
34.6,445,107
34.7,487,107
34.8,512,107
34.9,523,106
35.0,478,106
35.1,367,106
35.2,256,105
35.3,145,105
35.4,112,105
35.5,89,104
35.6,76,104
35.7,67,104
35.8,62,103
35.9,58,103
36.0,56,103
36.1,55,102
36.2,156,102
36.3,234,102
36.4,323,101
36.5,398,101
36.6,445,101
36.7,478,100
36.8,498,100
36.9,512,100
37.0,467,99
37.1,356,99
37.2,245,99
37.3,134,98
37.4,112,98
37.5,89,98
37.6,76,97
37.7,67,97
37.8,62,97
37.9,58,96
38.0,56,96
38.1,55,96
38.2,167,95
38.3,245,95
38.4,334,95
38.5,398,94
38.6,445,94
38.7,467,94
38.8,487,93
38.9,498,93
39.0,456,93
39.1,345,92
39.2,234,92
39.3,134,92
39.4,112,91
39.5,89,91
39.6,76,91
39.7,67,90
39.8,62,90
39.9,58,90
40.0,56,89
40.1,55,89
40.2,178,89
40.3,256,88
40.4,345,88
40.5,398,88
40.6,434,87
40.7,456,87
40.8,467,87
40.9,478,86
41.0,445,86
41.1,334,86
41.2,223,85
41.3,134,85
41.4,112,85
41.5,89,84
41.6,76,84
41.7,67,84
41.8,62,83
41.9,58,83
42.0,56,83
42.1,55,82
42.2,189,82
42.3,267,82
42.4,345,81
42.5,398,81
42.6,423,81
42.7,445,80
42.8,456,80
42.9,467,80
43.0,434,79
43.1,323,79
43.2,212,79
43.3,134,78
43.4,112,78
43.5,89,78
43.6,76,77
43.7,67,77
43.8,62,77
43.9,58,76
44.0,56,76
44.1,55,76
44.2,198,75
44.3,276,75
44.4,345,75
44.5,387,74
44.6,412,74
44.7,434,74
44.8,445,73
44.9,456,73
45.0,423,73
45.1,312,72
45.2,198,72
45.3,134,72
45.4,112,71
45.5,89,71
45.6,76,71
45.7,67,70
45.8,62,70
45.9,58,70
46.0,56,69
46.1,55,69
46.2,212,69
46.3,287,68
46.4,345,68
46.5,387,68
46.6,412,67
46.7,423,67
46.8,434,67
46.9,445,66
47.0,412,66
47.1,298,66
47.2,187,65
47.3,134,65
47.4,112,65
47.5,89,64
47.6,76,64
47.7,67,64
47.8,62,63
47.9,58,63
48.0,56,63
48.1,55,62
48.2,223,62
48.3,298,62
48.4,345,61
48.5,376,61
48.6,398,61
48.7,412,60
48.8,423,60
48.9,434,60
49.0,398,59
49.1,287,59
49.2,176,59
49.3,123,58
49.4,98,58
49.5,78,58
49.6,67,57
49.7,62,57
49.8,58,57
49.9,56,56
