timestamp,emg_value,heart_rate
16.6,289,172
16.7,345,172
16.8,378,172
16.9,356,172
17.0,312,171
17.1,267,171
17.2,234,171
17.3,167,171
17.4,145,171
17.5,134,171
17.6,156,171
17.7,234,170
17.8,267,170
17.9,312,170
18.0,334,170
18.1,312,170
18.2,289,170
18.3,245,170
18.4,212,169
18.5,167,169
18.6,145,169
18.7,134,169
18.8,156,169
18.9,189,169
19.0,234,168
19.1,267,168
19.2,289,168
19.3,278,168
19.4,256,168
19.5,234,168
19.6,189,167
19.7,167,167
19.8,145,167
19.9,134,167
20.0,156,167
20.1,178,167
20.2,212,166
20.3,245,166
20.4,267,166
20.5,256,166
20.6,234,166
20.7,212,165
20.8,178,165
20.9,156,165
21.0,145,165
21.1,134,165
21.2,145,164
21.3,167,164
21.4,189,164
21.5,223,164
21.6,245,164
21.7,234,163
21.8,212,163
21.9,189,163
22.0,167,163
22.1,145,163
22.2,134,162
22.3,145,162
22.4,156,162
22.5,178,162
22.6,212,162
22.7,223,161
22.8,212,161
22.9,189,161
23.0,167,161
23.1,145,161
23.2,134,160
23.3,145,160
23.4,156,160
23.5,167,160
23.6,189,160
23.7,201,159
23.8,189,159
23.9,178,159
24.0,156,159
24.1,145,159
24.2,134,158
24.3,145,158
24.4,156,158
24.5,167,158
24.6,178,158
24.7,189,157
24.8,178,157
24.9,167,157
25.0,156,157
25.1,145,157
25.2,134,156
25.3,145,156
25.4,156,156
25.5,167,156
25.6,178,156
25.7,167,155
25.8,156,155
25.9,145,155
26.0,134,155
26.1,145,155
26.2,156,154
26.3,167,154
26.4,178,154
26.5,167,154
26.6,156,154
26.7,145,153
26.8,134,153
26.9,145,153
27.0,156,153
27.1,167,153
27.2,156,152
27.3,145,152
27.4,134,152
27.5,145,152
27.6,156,152
27.7,167,151
27.8,156,151
27.9,145,151
28.0,134,151
28.1,145,151
28.2,156,150
28.3,167,150
28.4,156,150
28.5,145,150
28.6,134,150
28.7,145,149
28.8,156,149
28.9,145,149
29.0,134,149
29.1,145,149
29.2,156,148
29.3,145,148
29.4,134,148
29.5,145,148
29.6,156,148
29.7,145,147
29.8,134,147
29.9,145,147
30.0,156,147
30.1,145,147
30.2,134,146
30.3,145,146
30.4,156,146
30.5,145,146
30.6,134,146
30.7,145,145
30.8,156,145
30.9,145,145
31.0,134,145
31.1,145,145
31.2,156,144
31.3,145,144
31.4,134,144
31.5,145,144
31.6,156,144
31.7,145,143
31.8,134,143
31.9,145,143
32.0,156,143
32.1,145,143
32.2,134,142
32.3,145,142
32.4,156,142
32.5,145,142
32.6,134,142
32.7,145,141
32.8,156,141
32.9,145,141
33.0,134,141
33.1,145,141
33.2,156,140
33.3,145,140
33.4,134,140
33.5,145,140
33.6,156,140
33.7,145,139
33.8,134,139
33.9,145,139
34.0,156,139
34.1,145,139
34.2,134,138
34.3,145,138
34.4,156,138
34.5,145,138
34.6,134,138
34.7,145,137
34.8,156,137
34.9,145,137
35.0,134,137
35.1,145,137
35.2,156,136
35.3,145,136
35.4,134,136
35.5,145,136
35.6,156,136
35.7,145,135
35.8,134,135
35.9,145,135
36.0,156,135
36.1,145,135
36.2,134,134
36.3,145,134
36.4,156,134
36.5,145,134
36.6,134,134
36.7,145,133
36.8,156,133
36.9,145,133
37.0,134,133
37.1,145,133
37.2,156,132
37.3,145,132
37.4,134,132
37.5,145,132
37.6,156,132
37.7,145,131
37.8,134,131
37.9,145,131
38.0,156,131
38.1,145,131
38.2,134,130
38.3,145,130
38.4,156,130
38.5,145,130
38.6,134,130
38.7,145,129
38.8,156,129
38.9,145,129
39.0,134,129
39.1,145,129
39.2,156,128
39.3,145,128
39.4,134,128
39.5,145,128
39.6,156,128
39.7,145,127
39.8,134,127
39.9,145,127
40.0,156,127
40.1,145,127
40.2,134,126
40.3,145,126
40.4,156,126
40.5,145,126
40.6,134,126
40.7,145,125
40.8,156,125
40.9,145,125
41.0,134,125
41.1,145,125
41.2,156,124
41.3,145,124
41.4,134,124
41.5,145,124
41.6,156,124
41.7,145,123
41.8,134,123
41.9,145,123
42.0,156,123
42.1,145,123
42.2,134,122
42.3,145,122
42.4,156,122
42.5,145,122
42.6,134,122
42.7,145,121
42.8,156,121
42.9,145,121
43.0,134,121
43.1,145,121
43.2,156,120
43.3,145,120
43.4,134,120
43.5,145,120
43.6,156,120
43.7,145,119
43.8,134,119
43.9,145,119
44.0,156,119
44.1,145,119
44.2,134,118
44.3,145,118
44.4,156,118
44.5,145,118
44.6,134,118
44.7,145,117
44.8,156,117
44.9,145,117
45.0,134,117
45.1,145,117
45.2,156,116
45.3,145,116
45.4,134,116
45.5,145,116
45.6,156,116
45.7,145,115
45.8,134,115
45.9,145,115
46.0,156,115
46.1,145,115
46.2,134,114
46.3,145,114
46.4,156,114
46.5,145,114
46.6,134,114
46.7,145,113
46.8,156,113
46.9,145,113
47.0,134,113
47.1,145,113
47.2,156,112
47.3,145,112
47.4,134,112
47.5,145,112
47.6,156,112
47.7,145,111
47.8,134,111
47.9,145,111
48.0,156,111
48.1,145,111
48.2,134,110
48.3,145,110
48.4,156,110
48.5,145,110
48.6,134,110
48.7,145,109
48.8,156,109
48.9,145,109
49.0,134,109
49.1,145,109
49.2,156,108
49.3,145,108
49.4,134,108
49.5,145,108
49.6,156,108
49.7,145,107
49.8,134,107
49.9,145,107
