timestamp,emg_value,heart_rate
18.2,234,175
18.3,145,175
18.4,89,175
18.5,67,174
18.6,59,174
18.7,58,174
18.8,62,174
18.9,87,174
19.0,156,174
19.1,289,174
19.2,456,174
19.3,534,174
19.4,489,174
19.5,423,174
19.6,312,174
19.7,234,173
19.8,156,173
19.9,89,173
20.0,67,173
20.1,59,173
20.2,58,173
20.3,61,173
20.4,82,173
20.5,145,173
20.6,267,173
20.7,412,173
20.8,478,172
20.9,445,172
21.0,389,172
21.1,289,172
21.2,189,172
21.3,123,172
21.4,78,172
21.5,65,172
21.6,59,171
21.7,58,171
21.8,62,171
21.9,87,171
22.0,156,171
22.1,278,171
22.2,389,171
22.3,445,171
22.4,412,170
22.5,356,170
22.6,267,170
22.7,178,170
22.8,112,170
22.9,76,170
23.0,64,169
23.1,59,169
23.2,58,169
23.3,61,169
23.4,82,169
23.5,134,169
23.6,245,168
23.7,356,168
23.8,412,168
23.9,378,168
24.0,312,168
24.1,234,167
24.2,156,167
24.3,98,167
24.4,71,167
24.5,62,167
24.6,59,166
24.7,58,166
24.8,61,166
24.9,78,166
25.0,123,166
25.1,223,165
25.2,323,165
25.3,378,165
25.4,345,165
25.5,289,164
25.6,212,164
25.7,145,164
25.8,89,164
25.9,67,163
26.0,61,163
26.1,58,163
26.2,57,163
26.3,59,162
26.4,73,162
26.5,112,162
26.6,198,162
26.7,289,161
26.8,334,161
26.9,312,161
27.0,267,160
27.1,198,160
27.2,134,160
27.3,87,159
27.4,65,159
27.5,59,159
27.6,57,158
27.7,56,158
27.8,58,158
27.9,67,157
28.0,98,157
28.1,167,157
28.2,245,156
28.3,289,156
28.4,267,156
28.5,223,155
28.6,167,155
28.7,112,155
28.8,78,154
28.9,63,154
29.0,58,154
29.1,56,153
29.2,55,153
29.3,57,153
29.4,62,152
29.5,87,152
29.6,145,152
29.7,212,151
29.8,245,151
29.9,223,151
30.0,189,150
30.1,145,150
30.2,98,149
30.3,71,149
30.4,61,149
30.5,57,148
30.6,55,148
30.7,54,148
30.8,56,147
30.9,59,147
31.0,76,147
31.1,123,146
31.2,178,146
31.3,212,146
31.4,189,145
31.5,156,145
31.6,123,144
31.7,87,144
31.8,67,144
31.9,59,143
32.0,56,143
32.1,54,143
32.2,53,142
32.3,55,142
32.4,61,142
32.5,89,141
32.6,134,141
32.7,167,141
32.8,156,140
32.9,134,140
33.0,112,139
33.1,87,139
33.2,67,139
33.3,58,138
33.4,55,138
33.5,53,138
33.6,52,137
33.7,54,137
33.8,58,137
33.9,71,136
34.0,98,136
34.1,134,136
34.2,156,135
34.3,145,135
34.4,123,134
34.5,98,134
34.6,76,134
34.7,63,133
34.8,57,133
34.9,54,133
35.0,52,132
35.1,51,132
35.2,53,132
35.3,59,131
35.4,78,131
35.5,112,131
35.6,134,130
35.7,123,130
35.8,112,129
35.9,89,129
36.0,71,129
36.1,61,128
36.2,56,128
36.3,53,128
36.4,51,127
36.5,50,127
36.6,52,127
36.7,56,126
36.8,67,126
36.9,89,126
37.0,112,125
37.1,123,125
37.2,112,124
37.3,98,124
37.4,82,124
37.5,67,123
37.6,58,123
37.7,54,123
37.8,52,122
37.9,50,122
38.0,49,122
38.1,48,121
38.2,47,121
38.3,46,121
38.4,45,120
38.5,44,120
38.6,43,120
38.7,42,119
38.8,41,119
38.9,40,119
39.0,39,118
39.1,38,118
39.2,37,118
39.3,36,117
39.4,35,117
39.5,34,117
39.6,33,116
39.7,32,116
39.8,31,116
39.9,30,115
40.0,29,115
